fecha,marca,zona,tipo_cristal,precio
2024-03-01,FORD,Rosario,Aleta/Ventilete,38080.84392878684
2024-03-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,73704.85921700677
2024-03-01,PEUGEOT,CABA,Aleta/Ventilete,122122.79148521247
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,121470.5959660261
2024-03-01,PEUGEOT,Rosario,Aleta/Ventilete,120818.40044683973
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,130275.23547504203
2024-03-01,RENAULT,CABA,Aleta/Ventilete,43843.7961746773
2024-03-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,41338.43639326718
2024-03-01,RENAULT,Rosario,Aleta/Ventilete,38833.07661185703
2024-03-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,75160.79344230394
2024-03-01,TOYOTA,CABA,Aleta/Ventilete,38913.14150519207
2024-03-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,36689.5334191811
2024-03-01,TOYOTA,Rosario,Aleta/Ventilete,34465.92533317012
2024-03-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,66708.24258032927
2024-03-01,VOLKSWAGEN,CABA,Aleta/Ventilete,40996.27253672733
2024-03-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,38653.62839177149
2024-03-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,36310.984246815635
2024-03-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,70279.32434867542
2024-05-01,CHEVROLET,CABA,Aleta/Ventilete,42931.84515401125
2024-05-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,40478.59685949633
2024-05-01,CHEVROLET,Rosario,Aleta/Ventilete,38025.3485649814
2024-05-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,73597.44883544785
2024-05-01,FIAT,CABA,Aleta/Ventilete,35087.30083929131
2024-05-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,33082.312219903244
