año_mes,tva,tipo_costo,valor_costo
2025-05-01,camion_cleas_si,cm_hs_chapa,23156.93
2025-06-01,camion_cleas_si,cm_hs_chapa,24978.26
2025-07-01,camion_cleas_si,cm_hs_chapa,26873.49
2023-01-01,camion_cleas_no,cm_hs_chapa,6410.84
2023-02-01,camion_cleas_no,cm_hs_chapa,5688.85
2023-03-01,camion_cleas_no,cm_hs_chapa,5904.16
2023-04-01,camion_cleas_no,cm_hs_chapa,8086.06
2023-05-01,camion_cleas_no,cm_hs_chapa,7483.28
2023-06-01,camion_cleas_no,cm_hs_chapa,7304.23
2023-07-01,camion_cleas_no,cm_hs_chapa,8372.22
2023-08-01,camion_cleas_no,cm_hs_chapa,9620.57
2023-09-01,camion_cleas_no,cm_hs_chapa,10013.42
2023-10-01,camion_cleas_no,cm_hs_chapa,10879.17
2023-11-01,camion_cleas_no,cm_hs_chapa,13869.0
2023-12-01,camion_cleas_no,cm_hs_chapa,16387.25
2024-01-01,camion_cleas_no,cm_hs_chapa,17962.66
2024-02-01,camion_cleas_no,cm_hs_chapa,28789.62
2024-03-01,camion_cleas_no,cm_hs_chapa,23909.01
2024-04-01,camion_cleas_no,cm_hs_chapa,21456.86
2024-05-01,camion_cleas_no,cm_hs_chapa,28139.37
2024-06-01,camion_cleas_no,cm_hs_chapa,26200.9
2024-07-01,camion_cleas_no,cm_hs_chapa,31342.6
2024-08-01,camion_cleas_no,cm_hs_chapa,32003.15
2024-09-01,camion_cleas_no,cm_hs_chapa,33533.12
2024-10-01,camion_cleas_no,cm_hs_chapa,35669.02
2024-11-01,camion_cleas_no,cm_hs_chapa,24846.71
2024-12-01,camion_cleas_no,cm_hs_chapa,36044.48
2025-01-01,camion_cleas_no,cm_hs_chapa,37631.82
2025-02-01,camion_cleas_no,cm_hs_chapa,37028.7
2025-03-01,camion_cleas_no,cm_hs_chapa,48747.13
2025-04-01,camion_cleas_no,cm_hs_chapa,44365.84
2025-05-01,camion_cleas_no,cm_hs_chapa,48239.85
2025-06-01,camion_cleas_no,cm_hs_chapa,44906.73
2025-07-01,camion_cleas_no,cm_hs_chapa,49884.66
2023-01-01,auto_cleas_si,cm_hs_elect,2910.0
