fecha,marca,zona,tipo_cristal,precio_ipc,instalacion_ipc
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Puerta,105762.16513961466,32145.038924420085
2023-12-01,PEUGEOT,Rosario,Aleta/Ventilete,280716.6682951483,48217.79395013458
2023-12-01,PEUGEOT,Rosario,Custodia/Coleta,147810.80780832944,48217.79395013458
2023-12-01,PEUGEOT,Rosario,Luneta,266094.3919958999,78750.46384876157
2023-12-01,PEUGEOT,Rosario,Parabrisas,453806.7489813073,109484.79966491008
2023-12-01,PEUGEOT,Rosario,Puerta,99352.33694933499,32145.038924420085
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,303035.3605304426,86505.14978696914
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,286085.4344677344,86505.14978696914
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,515021.40386303206,141282.29669892235
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,878335.643189627,196421.24241942682
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,192294.84570839026,57669.818116122085
2023-12-01,RENAULT,CABA,Aleta/Ventilete,103473.96251826268,44135.28050355568
2023-12-01,RENAULT,CABA,Custodia/Coleta,238964.2510520463,44135.28050355568
2023-12-01,RENAULT,CABA,Luneta,245900.60771687285,65929.95838200548
2023-12-01,RENAULT,CABA,Parabrisas,378698.01404797204,98952.07380955796
2023-12-01,RENAULT,CABA,Puerta,118429.71510002464,29423.37658985821
2023-12-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,97561.16466007626,48217.79395013458
2023-12-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,225309.1509919294,48217.79395013458
2023-12-01,RENAULT,CORD_TUC_STAFE,Luneta,231849.14441876582,72028.47953234099
2023-12-01,RENAULT,CORD_TUC_STAFE,Parabrisas,357058.12753094506,108105.14063694206
2023-12-01,RENAULT,CORD_TUC_STAFE,Puerta,111662.30280859466,32145.038924420085
2023-12-01,RENAULT,Rosario,Aleta/Ventilete,91648.3668018898,48217.79395013458
2023-12-01,RENAULT,Rosario,Custodia/Coleta,211654.05093181244,48217.79395013458
2023-12-01,RENAULT,Rosario,Luneta,217797.68112065882,72028.47953234099
2023-12-01,RENAULT,Rosario,Parabrisas,335418.2410139181,108105.14063694206
2023-12-01,RENAULT,Rosario,Puerta,104894.89051716469,32145.038924420085
2023-12-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,177383.9357455932,86505.14978696914
2023-12-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,409653.00180350797,86505.14978696915
2023-12-01,RENAULT,TIERRA DEL FUEGO,Luneta,421543.8989432106,129222.71842873076
2023-12-01,RENAULT,TIERRA DEL FUEGO,Parabrisas,649196.5955108091,193946.0646667336
2023-12-01,RENAULT,TIERRA DEL FUEGO,Puerta,203022.36874289936,57669.81811612208
