fecha,marca,zona,tipo_cristal,precio,instalacion
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,36674.850411690015,16962.28525296993
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,95315.92054885392,16962.28525296993
2023-12-01,CHEVROLET,CABA,Luneta,104491.50060803551,27811.49693801808
2023-12-01,CHEVROLET,CABA,Parabrisas,154233.6439390227,38596.04229745618
2023-12-01,CHEVROLET,CABA,Puerta,51540.39659282002,11308.13492354545
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,34579.14467387916,18531.29663886964
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,89869.29651749083,18531.29663886964
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Luneta,98520.55771614777,30384.060404784763
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,145420.29285679283,42166.17620997088
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Puerta,48595.23107323031,12354.1374039734
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,32483.438936068298,18531.29663886964
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,84422.67248612776,18531.29663886964
2023-12-01,CHEVROLET,Rosario,Luneta,92549.61482426003,30384.060404784763
2023-12-01,CHEVROLET,Rosario,Parabrisas,136606.94177456296,42166.17620997088
2023-12-01,CHEVROLET,Rosario,Puerta,45650.06555364059,12354.1374039734
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,62871.172134325745,33246.07909582106
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,163398.7209408924,33246.07909582106
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,179128.2867566323,54510.53399851546
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,264400.53246689605,75648.2429030141
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,88354.96558769146,22163.94445014907
2023-12-01,FIAT,CABA,Aleta/Ventilete,30109.78048351376,16962.28525296993
2023-12-01,FIAT,CABA,Custodia/Coleta,76673.47505586423,16962.28525296993
2023-12-01,FIAT,CABA,Luneta,103795.66564814723,25707.724760437985
2023-12-01,FIAT,CABA,Parabrisas,161009.79154391075,38842.38392527059
2023-12-01,FIAT,CABA,Puerta,42450.879258054876,11308.13492354545
