fecha,marca,zona,tipo_cristal,instalacion_ipc
2024-03-01,FORD,Rosario,Aleta/Ventilete,35609.58062071032
2024-03-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,63885.380347981336
2024-03-01,PEUGEOT,CABA,Aleta/Ventilete,32594.581810194566
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,35609.58062763755
2024-03-01,PEUGEOT,Rosario,Aleta/Ventilete,35609.58062071032
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,63885.38034798134
2024-03-01,RENAULT,CABA,Aleta/Ventilete,32594.581810194562
2024-03-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,35609.58062763755
2024-03-01,RENAULT,Rosario,Aleta/Ventilete,35609.58062071032
2024-03-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,63885.380347981336
2024-03-01,TOYOTA,CABA,Aleta/Ventilete,32594.58181019456
2024-03-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,35609.58062763755
2024-03-01,TOYOTA,Rosario,Aleta/Ventilete,35609.58062071032
2024-03-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,63885.380347981336
2024-03-01,VOLKSWAGEN,CABA,Aleta/Ventilete,32594.581810194566
2024-03-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,35609.58062763755
2024-03-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,35609.58062071032
2024-03-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,63885.38034798134
2024-05-01,CHEVROLET,CABA,Aleta/Ventilete,31336.217452631456
2024-05-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
2024-05-01,CHEVROLET,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,61418.986207157664
2024-05-01,FIAT,CABA,Aleta/Ventilete,31336.217452631452
2024-05-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
2024-05-01,FIAT,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,61418.986207157664
2024-05-01,FORD,CABA,Aleta/Ventilete,31336.217452631456
2024-05-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
2024-05-01,FORD,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,61418.986207157664
2024-05-01,PEUGEOT,CABA,Aleta/Ventilete,31336.217452631452
2024-05-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
2024-05-01,PEUGEOT,Rosario,Aleta/Ventilete,34234.81757035442
2024-05-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,61418.98620715767
2024-05-01,RENAULT,CABA,Aleta/Ventilete,31336.217452631456
2024-05-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,34234.81756699988
