año,año_mes,cant_ocompra,cant_piezas_total,var_cant_piezas,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,var_costo_prom_%,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tva,ipc_empalme_ipim,var_ipc,var_ipc_%
2023,2023-11-01,4394,21733,"19,8 %",4.95,132900,0.25,"24,7 %",2888328162,3.59,10381104548,477663,0.11,931,3099896,142,"22,2 %",auto,2816,0.13,"12,81%"
2023,2023-12-01,3531,16228,"-25,3 %",4.6,173029,0.3,"30,2 %",2807920303,2.86,8043718801,495668,0.04,965,2908175,179,"25,6 %",auto,3533,0.25,"25,47%"
2024,2024-01-01,4422,18908,"16,5 %",4.28,198392,0.15,"14,7 %",3751201685,2.38,8909308263,471191,-0.05,1141,3285340,173,"-3,0 %",auto,4261,0.21,"20,61%"
2024,2024-02-01,3728,16634,"-12,0 %",4.46,219423,0.11,"10,6 %",3649898016,2.1,7655117255,460207,-0.02,1081,3375303,202,"16,8 %",auto,4825,0.13,"13,24%"
2024,2024-03-01,3571,16069,"-3,4 %",4.5,228261,0.04,"4,0 %",3667933142,1.89,6929973898,431262,-0.06,1001,3662060,227,"12,3 %",auto,5357,0.11,"11,01%"
2024,2024-04-01,3851,18330,"14,1 %",4.76,222205,-0.03,"-2,7 %",4073020379,1.74,7070831320,385751,-0.11,1004,4053764,221,"-3,0 %",auto,5830,0.09,"8,83%"
2024,2024-05-01,3971,18105,"-1,2 %",4.56,234125,0.05,"5,4 %",4238838438,1.67,7063691326,390150,0.01,1119,3786085,209,"-5,4 %",auto,6073,0.04,"4,18%"
2024,2024-06-01,2939,14222,"-21,4 %",4.84,230658,-0.01,"-1,5 %",3280419331,1.59,5227304017,367550,-0.06,1278,2565611,180,"-13,7 %",auto,6351,0.05,"4,58%"
2024,2024-07-01,3886,18809,"32,3 %",4.84,233774,0.01,"1,4 %",4397068629,1.53,6735179032,358081,-0.03,1416,3105224,165,"-8,5 %",auto,6607,0.04,"4,03%"
2024,2024-08-01,3748,18013,"-4,2 %",4.81,232618,0.0,"-0,5 %",4190159555,1.47,6161185992,342040,-0.04,1340,3125394,173,"5,1 %",auto,6883,0.04,"4,17%"
2024,2024-09-01,3385,16540,"-8,2 %",4.89,236771,0.02,"1,8 %",3916199088,1.42,5565284819,336473,-0.02,1243,3149920,190,"9,8 %",auto,7122,0.03,"3,47%"
2024,2024-10-01,3597,16624,"0,5 %",4.62,234442,-0.01,"-1,0 %",3897367113,1.38,5393348022,324431,-0.04,1201,3245101,195,"2,5 %",auto,7313,0.03,"2,69%"
2024,2024-11-01,3454,15328,"-7,8 %",4.44,241984,0.03,"3,2 %",3709133287,1.35,5011260723,326934,0.01,1124,3299800,215,"10,3 %",auto,7491,0.02,"2,43%"
2024,2024-12-01,2937,13598,"-11,3 %",4.63,257275,0.06,"6,3 %",3498432922,1.32,4602145146,338442,0.04,1105,3165429,232,"8,1 %",auto,7694,0.03,"2,70%"
