fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd
2023-12-01,ALFA ROMEO,CABA,Luneta,279353.9849376329,726869.4224352671,289.3281937180245,28343.07106425888,73747.69219461469,29.35504770864256
2023-12-01,ALFA ROMEO,CABA,Parabrisas,152806.249767953,397596.585343603,158.2621284033499,38709.8209872,100721.6175198659,40.09193778952203
2023-12-01,ALFA ROMEO,CABA,Puerta,94301.55816627528,245369.3980215433,97.66855301933478,11308.13492354545,29423.37658985821,11.71188681084879
2023-12-01,ALFA ROMEO,CORD_TUC_STAFE,Luneta,263390.900084054,685334.0268675376,272.7951540769946,30964.80513770283,80569.35372261655,32.07038962169199
2023-12-01,ALFA ROMEO,CORD_TUC_STAFE,Parabrisas,144074.4640669271,374876.7804668256,149.2185782088728,42290.479428516,110038.3671404535,43.80044203505282
2023-12-01,ALFA ROMEO,CORD_TUC_STAFE,Puerta,88912.89769963098,231348.2895631694,92.08749284680137,12354.1374039734,32145.03892442009,12.79523634085231
2023-12-01,ALFA ROMEO,Rosario,Luneta,247427.81523047495,643798.6312998079,256.2621144359646,30964.80513770283,80569.35372261655,32.07038962169199
2023-12-01,ALFA ROMEO,Rosario,Parabrisas,135342.6783659012,352156.9755900484,140.1750280143957,42290.479428516,110038.3671404535,43.80044203505282
2023-12-01,ALFA ROMEO,Rosario,Puerta,83524.23723298668,217327.1811047955,86.50643267426796,12354.1374039734,32145.03892442009,12.79523634085231
2023-12-01,ALFA ROMEO,TIERRA DEL FUEGO,Luneta,478892.5456073708,1246061.8670318865,495.9911892308993,55552.41928594741,144545.4767014448,57.53589350893941
2023-12-01,ALFA ROMEO,TIERRA DEL FUEGO,Parabrisas,261953.5710307766,681594.1463033194,271.3065058343142,75871.249134912,197414.3703389372,78.58019806746317
2023-12-01,ALFA ROMEO,TIERRA DEL FUEGO,Puerta,161659.8139993291,420633.253751217,167.4318051760025,22163.94445014907,57669.81811612208,22.95529814926363
2023-12-01,AUDI,CABA,Custodia/Coleta,285808.604747472,743664.1202959915,296.0132728341654,16962.28525296993,44135.28050355568,17.5679160426773
2023-12-01,AUDI,CABA,Luneta,274599.4864416055,714498.3815261911,284.4039379849345,28343.07106425888,73747.69219461469,29.35504770864256
2023-12-01,AUDI,CABA,Parabrisas,493182.5776641396,1283244.036994502,510.7914404751428,65322.94032,169968.0350461878,67.65526661577917
2023-12-01,AUDI,CABA,Puerta,86504.8804207085,225082.71175465768,89.59349839059921,11308.13492354545,29423.37658985821,11.71188681084879
2023-12-01,AUDI,CORD_TUC_STAFE,Custodia/Coleta,269476.6844761879,701169.0277076493,279.0982286722132,18531.29663886964,48217.79395013458,19.19294827662495
2023-12-01,AUDI,CORD_TUC_STAFE,Luneta,258908.08721637088,673669.9025818374,268.1522843857954,30964.80513770283,80569.35372261655,32.07038962169199
2023-12-01,AUDI,CORD_TUC_STAFE,Parabrisas,465000.71608333173,1209915.8063091019,481.6033581622776,71365.3122996,185690.0782879602,73.91337877773874
2023-12-01,AUDI,CORD_TUC_STAFE,Puerta,81561.74439666801,212220.84251153443,84.47386991113642,12354.1374039734,32145.03892442009,12.79523634085231
2023-12-01,AUDI,Rosario,Custodia/Coleta,253144.7642049038,658673.9351193069,262.1831845102608,18531.29663886964,48217.79395013458,19.19294827662495
2023-12-01,AUDI,Rosario,Luneta,243216.68799113625,632841.4236374836,251.90063078665625,30964.80513770283,80569.35372261655,32.07038962169199
2023-12-01,AUDI,Rosario,Parabrisas,436818.85450252367,1136587.5756237018,452.4152758494122,71365.3122996,185690.0782879602,73.91337877773874
2023-12-01,AUDI,Rosario,Puerta,76618.60837262754,199358.97326841112,79.3542414316736,12354.1374039734,32145.03892442009,12.79523634085231
2023-12-01,AUDI,TIERRA DEL FUEGO,Custodia/Coleta,489957.6081385234,1274852.777650271,507.4513248585693,33246.07909582106,86505.14978696914,34.4331154436475
2023-12-01,AUDI,TIERRA DEL FUEGO,Luneta,470741.9767570379,1224854.3683306135,487.5496079741734,55552.41928594742,144545.4767014448,57.53589350893941
2023-12-01,AUDI,TIERRA DEL FUEGO,Parabrisas,845455.8474242394,2199846.9205620037,875.6424693859591,128032.9630272,333137.3486905281,132.6043225669272
2023-12-01,AUDI,TIERRA DEL FUEGO,Puerta,148294.08072121456,385856.07729369897,153.5888543838844,22163.94445014907,57669.81811612208,22.95529814926363
2023-12-01,BMW,CABA,Aleta/Ventilete,87128.04745099181,226704.1708488742,90.23891532029418,16962.28525296993,44135.28050355568,17.5679160426773
2023-12-01,BMW,CABA,Custodia/Coleta,121177.0748265377,315298.5643330804,125.5036479519824,16962.28525296993,44135.28050355568,17.5679160426773
2023-12-01,BMW,CABA,Luneta,288122.410399878,749684.5627055289,298.4096918799672,28343.07106425888,73747.69219461469,29.35504770864256
2023-12-01,BMW,CABA,Parabrisas,615100.3915610941,1600469.978810346,637.0622752539316,62097.107673599996,161574.52989148212,64.31425706108134
2023-12-01,BMW,CABA,Puerta,99413.0535084702,258669.33239688873,102.96255201092075,11308.13492354545,29423.37658985821,11.71188681084879
2023-12-01,BMW,CORD_TUC_STAFE,Aleta/Ventilete,82149.30188236372,213749.6468003671,85.08240587342024,18531.29663886964,48217.79395013458,19.19294827662495
2023-12-01,BMW,CORD_TUC_STAFE,Custodia/Coleta,114252.6705507356,297281.5035140472,118.3320109261548,18531.29663886964,48217.79395013458,19.19294827662495
