nro_siniestro_gw,año_mes_fecha_pago,segmento,cobertura_principal,monto_transaccion,ipc_x_fecha_de_pago,pago_ipc,usd_blue_fp,pago_usd,marca_vehiculo,modelo_vehiculo,provincia,tv
4-3141899,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),880000,1.71,1508708,1119,786,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3242378,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),340000,1.32,450200,1216,279,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3148287,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),393501,1.64,645107,1278,307,RENAULT,SYMBOL,BUENOS AIRES,Autos particulares
4-3123527,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),867768,1.79,1549871,1004,863,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3199537,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1157024,1.42,1647280,1201,963,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3231177,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),201818,1.32,267231,1216,165,FIAT,FIORINO,BUENOS AIRES,Autos particulares
4-3219598,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),383471,1.35,518987,1105,346,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3258147,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),232868,1.29,301113,1212,192,VOLKSWAGEN,SAVEIRO,BUENOS AIRES,Autos particulares
4-3265855,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),209008,1.21,253495,1263,165,PEUGEOT,2008,BUENOS AIRES,Autos particulares
4-3311881,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),413223,1.15,476830,1282,322,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3257288,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),325000,1.25,405136,1251,259,RENAULT,OROCH,BUENOS AIRES,Autos particulares
4-3189573,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),283000,1.46,413758,1243,227,RENAULT,TWINGO,BUENOS AIRES,Autos particulares
4-3207731,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),136194,1.42,193902,1201,113,FORD,FIESTA,BUENOS AIRES,Autos particulares
4-3242712,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),527120,1.32,697969,1216,433,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3302985,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),130319,1.18,153238,1181,110,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3206031,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1888347,1.42,2688479,1201,1572,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3162032,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),490000,1.58,772182,1416,346,PEUGEOT,301,BUENOS AIRES,Autos particulares
4-3344890,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),867768,1.13,982906,1329,652,TOYOTA,SW4,BUENOS AIRES,Autos particulares
4-3102291,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),103697,2.44,253383,1141,90,RENAULT,SANDERO,BUENOS AIRES,Autos particulares
4-3165303,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),400000,1.58,630352,1416,282,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3171753,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),865950,1.58,1364635,1416,611,VOLKSWAGEN,GOLF,BUENOS AIRES,Autos particulares
4-3179214,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),200008,1.51,302565,1340,149,VOLKSWAGEN,SAVEIRO,BUENOS AIRES,Autos particulares
4-3278385,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),39765,1.21,48228,1263,31,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3333025,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),130743,1.13,148091,1329,98,PEUGEOT,207,BUENOS AIRES,Autos particulares
4-3198432,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1082644,1.42,1541384,1201,901,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3105118,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),694353,2.44,1696647,1141,608,FIAT,TORO,BUENOS AIRES,Autos particulares
4-3168362,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),137194,1.64,224916,1278,107,VOLKSWAGEN,GOL,BUENOS AIRES,Autos particulares
4-3172503,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),727272,1.58,1146095,1416,513,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3206152,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),543000,1.39,754765,1124,483,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3343985,2025-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),211874,1.11,235105,1406,150,FIAT,CRONOS,BUENOS AIRES,Autos particulares
4-3257791,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),991735,1.25,1236272,1251,792,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3337494,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),247171,1.13,279966,1329,185,VOLKSWAGEN,POLO,BUENOS AIRES,Autos particulares
4-3275485,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),203305,1.21,246578,1263,160,PEUGEOT,207,BUENOS AIRES,Autos particulares
4-3305305,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),330578,1.15,381464,1282,257,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3125793,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),609000,1.94,1183764,1001,608,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3139067,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),220158,1.71,377447,1119,196,RENAULT,KANGOO,BUENOS AIRES,Autos particulares
4-3253544,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),484474,1.21,587592,1263,383,AUDI,A1,BUENOS AIRES,Autos particulares
4-3257175,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),168238,1.25,209721,1251,134,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3179946,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),396280,1.51,599480,1340,295,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3250196,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),730000,1.32,966606,1216,599,RENAULT,SANDERO,BUENOS AIRES,Autos particulares
4-3261991,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),362231,1.21,439331,1263,286,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3200073,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),152150,1.42,216619,1201,126,FIAT,PALIO,BUENOS AIRES,Autos particulares
4-3190742,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),355371,1.46,519569,1243,285,FORD,ECO SPORT,BUENOS AIRES,Autos particulares
4-3337813,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),284660,1.13,322429,1329,214,FIAT,CRONOS,BUENOS AIRES,Autos particulares
4-3135583,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),501984,1.94,975748,1001,501,VOLKSWAGEN,POLO,BUENOS AIRES,Autos particulares
4-3168513,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),729999,1.58,1150393,1416,515,TOYOTA,COROLLA,BUENOS AIRES,Autos particulares
4-3203635,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),356000,1.42,506844,1201,296,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3183106,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),119481,1.42,170108,1201,99,RENAULT,KANGOO,BUENOS AIRES,Autos particulares
4-3216501,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),443190,1.42,630978,1201,369,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3233175,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),189420,1.35,256360,1105,171,CITROEN,C 3 AIRCROSS,BUENOS AIRES,Autos particulares
4-3295424,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),475000,1.19,567582,1162,408,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3175638,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1033057,1.51,1562774,1340,770,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3340926,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),50000,1.13,56634,1329,37,RENAULT,KANGOO,BUENOS AIRES,Autos particulares
4-3151709,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),804756,1.51,1217407,1340,600,TOYOTA,SW4,BUENOS AIRES,Autos particulares
4-3268664,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),330578,1.29,427459,1212,272,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3304444,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),157093,1.18,184722,1181,132,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3266282,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),316496,1.25,394536,1251,252,CHEVROLET,PRISMA,BUENOS AIRES,Autos particulares
4-3177841,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),494238,1.51,747666,1340,368,FORD,FIESTA,BUENOS AIRES,Autos particulares
4-3263431,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),250000,1.25,311643,1251,199,FORD,ECO SPORT,BUENOS AIRES,Autos particulares
4-3282141,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),193388,1.19,231081,1162,166,RENAULT,SANDERO,BUENOS AIRES,Autos particulares
4-3124814,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),509512,1.79,910010,1004,507,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3181394,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),207000,1.51,313142,1340,154,CITROEN,C 3,BUENOS AIRES,Autos particulares
4-3341530,2025-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),395000,1.11,438310,1406,280,FORD,ECO SPORT,BUENOS AIRES,Autos particulares
4-3335771,2025-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),50000,1.08,54212,1463,34,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3239016,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),643765,1.32,852420,1216,529,VOLKSWAGEN,UP,BUENOS AIRES,Autos particulares
4-3318943,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),291517,1.13,330197,1329,219,VOLKSWAGEN,GOL,BUENOS AIRES,Autos particulares
4-3201630,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),434489,1.39,603936,1124,386,CITROEN,JUMPY,BUENOS AIRES,Autos particulares
4-3176805,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),217355,1.58,342526,1416,153,RENAULT,MEGANE,BUENOS AIRES,Autos particulares
4-3329742,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),430000,1.13,487053,1329,323,MERCEDES BENZ,SPRINTER,BUENOS AIRES,Autos particulares
4-3347852,2025-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),234000,1.08,253715,1463,159,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3102334,2023-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),300000,2.95,884160,965,310,PEUGEOT,208,BUENOS AIRES,Autos particulares
4-3131972,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),341150,1.79,609308,1004,339,RENAULT,CLIO,BUENOS AIRES,Autos particulares
4-3151553,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),422314,1.51,638862,1340,314,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3141174,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),198999,1.71,341173,1119,177,CHEVROLET,PRISMA,BUENOS AIRES,Autos particulares
4-3185714,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),392561,1.46,573942,1243,315,RENAULT,CLIO,BUENOS AIRES,Autos particulares
4-3248163,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),289256,1.18,340128,1181,244,PEUGEOT,207,BUENOS AIRES,Autos particulares
4-3143560,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),190000,1.71,325743,1119,169,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3358755,2025-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),163387,1.11,181301,1406,116,BMW,320,BUENOS AIRES,Autos particulares
4-3125979,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),842975,1.94,1638561,1001,841,RENAULT,SANDERO,BUENOS AIRES,Autos particulares
4-3153288,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),355511,1.64,582826,1278,278,FORD,FOCUS,BUENOS AIRES,Autos particulares
4-3153345,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),375000,1.64,614776,1278,293,HONDA,FIT,BUENOS AIRES,Autos particulares
4-3154002,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),372596,1.64,610835,1278,291,MERCEDES BENZ,SPRINTER,BUENOS AIRES,Autos particulares
4-3176801,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),264256,1.51,399757,1340,197,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3202056,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),399173,1.42,568311,1201,332,FIAT,CRONOS,BUENOS AIRES,Autos particulares
4-3231544,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),143200,1.32,189613,1216,117,CHEVROLET,PRISMA,BUENOS AIRES,Autos particulares
4-3272840,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),370000,1.21,448753,1263,292,PEUGEOT,308,BUENOS AIRES,Autos particulares
4-3296263,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),942382,1.18,1108123,1181,797,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3108288,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),181818,2.44,444271,1141,159,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3178916,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),226446,1.39,314758,1124,201,FORD,KA,BUENOS AIRES,Autos particulares
4-3118089,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Camiones),842975,2.16,1818962,1081,779,SCANIA,P,BUENOS AIRES,Camiones
4-3100425,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),370000,2.44,904092,1141,324,FORD,ECO SPORT,BUENOS AIRES,Autos particulares
4-3324491,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),133471,1.15,154016,1282,104,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3115129,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),300000,2.16,647336,1081,277,TOYOTA,ETIOS,BUENOS AIRES,Autos particulares
4-3151893,2024-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),255209,1.64,418390,1278,199,VOLKSWAGEN,POLO,BUENOS AIRES,Autos particulares
4-3137292,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),123624,1.71,211947,1119,110,RENAULT,CLIO,BUENOS AIRES,Autos particulares
4-3112591,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),317000,2.16,684019,1081,293,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3194566,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),418970,1.46,612553,1243,336,CITROEN,C 4,BUENOS AIRES,Autos particulares
4-3222977,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),228000,1.35,308574,1105,206,TOYOTA,COROLLA,BUENOS AIRES,Autos particulares
4-3314288,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),410000,1.15,473111,1282,319,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3116263,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),863636,2.16,1863544,1081,798,FIAT,TORO,BUENOS AIRES,Autos particulares
4-3132810,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),736776,1.94,1432134,1001,735,LIFAN,MY WAY,BUENOS AIRES,Autos particulares
4-3255650,2025-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),351239,1.29,454175,1212,289,TOYOTA,COROLLA,BUENOS AIRES,Autos particulares
4-3125890,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),760826,1.94,1478882,1001,759,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3268914,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),314049,1.21,380894,1263,248,FIAT,PALIO,BUENOS AIRES,Autos particulares
4-3306423,2025-06-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),764462,1.18,898911,1181,646,HONDA,CRV,BUENOS AIRES,Autos particulares
4-3298237,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),920000,1.19,1099317,1162,791,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3138194,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),139586,1.71,239313,1119,124,VOLKSWAGEN,GOL,BUENOS AIRES,Autos particulares
4-3149976,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),175000,1.71,300027,1119,156,TOYOTA,ETIOS,BUENOS AIRES,Autos particulares
4-3148788,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),77185,1.71,132329,1119,68,VOLKSWAGEN,FOX,BUENOS AIRES,Autos particulares
4-3223866,2024-11-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),148760,1.39,206775,1124,132,RENAULT,CLIO,BUENOS AIRES,Autos particulares
4-3130323,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),159338,1.79,284585,1004,158,RENAULT,LOGAN,BUENOS AIRES,Autos particulares
4-3166539,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1266954,1.58,1996570,1416,894,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3181184,2024-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),239694,1.51,362601,1340,178,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3314744,2025-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),166994,1.15,192699,1282,130,PEUGEOT,206,BUENOS AIRES,Autos particulares
4-3112036,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),591350,2.44,1444960,1141,517,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3353289,2025-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),360000,1.08,390331,1463,245,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3153668,2024-07-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),152644,1.58,240548,1416,107,VOLKSWAGEN,GOL,BUENOS AIRES,Autos particulares
4-3223918,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),489105,1.35,661952,1105,442,FORD,FOCUS,BUENOS AIRES,Autos particulares
4-3266192,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),175000,1.25,218150,1251,139,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3283451,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),545454,1.21,661553,1263,431,CITROEN,C 4,BUENOS AIRES,Autos particulares
4-3126753,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),830003,1.79,1482420,1004,826,NISSAN,PICK-UP,BUENOS AIRES,Autos particulares
4-3133446,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),208000,1.79,371496,1004,207,PEUGEOT,207,BUENOS AIRES,Autos particulares
4-3204328,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),491491,1.42,699746,1201,409,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3292325,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),210000,1.19,250931,1162,180,VOLKSWAGEN,GOL,BUENOS AIRES,Autos particulares
4-3322540,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),170867,1.13,193538,1329,128,PEUGEOT,PARTNER,BUENOS AIRES,Autos particulares
4-3192841,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),289256,1.42,411820,1201,240,FORD,MAVERICK,BUENOS AIRES,Autos particulares
4-3103324,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),271108,2.16,584994,1081,250,VOLKSWAGEN,FOX,BUENOS AIRES,Autos particulares
4-3111008,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),264300,2.16,570303,1081,244,RENAULT,KANGOO,BUENOS AIRES,Autos particulares
4-3145690,2024-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),745000,1.71,1277258,1119,665,PEUGEOT,408,BUENOS AIRES,Autos particulares
4-3275296,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),991735,1.21,1202823,1263,784,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3242446,2024-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),149033,1.35,201700,1105,134,VOLKSWAGEN,FOX,BUENOS AIRES,Autos particulares
4-3116798,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),185950,2.16,401241,1081,171,FIAT,SIENA,BUENOS AIRES,Autos particulares
4-3180853,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),388429,1.46,567901,1243,312,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3196447,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),719008,1.42,1023667,1201,598,TOYOTA,RAV,BUENOS AIRES,Autos particulares
4-3113964,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),990008,2.16,2136228,1081,915,CHEVROLET,PICK-UP S-10,BUENOS AIRES,Autos particulares
4-3212545,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),647890,1.42,922414,1201,539,CHRYSLER,JEEP GRAND CHEROKEE,BUENOS AIRES,Autos particulares
4-3109933,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1323329,2.44,3233548,1141,1158,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3112356,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),630000,2.16,1359406,1081,582,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3123065,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),850011,1.94,1652237,1001,848,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3123466,2024-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),430009,1.94,835844,1001,429,HONDA,FIT,BUENOS AIRES,Autos particulares
4-3161725,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1005806,1.42,1431988,1201,837,CHRYSLER,RAM,BUENOS AIRES,Autos particulares
4-3189823,2024-09-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),914876,1.46,1337588,1243,735,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3248724,2025-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1722677,1.32,2281028,1216,1415,FORD,F-150,BUENOS AIRES,Autos particulares
4-3127927,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),519000,1.79,926955,1004,516,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3260541,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),809917,1.25,1009622,1251,647,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3259600,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),600000,1.25,747944,1251,479,TOYOTA,SW4,BUENOS AIRES,Autos particulares
4-3261044,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),417355,1.25,520264,1251,333,NISSAN,PICK-UP,BUENOS AIRES,Autos particulares
4-3294493,2025-05-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),376702,1.19,450125,1162,324,RENAULT,DUSTER,BUENOS AIRES,Autos particulares
4-3341387,2025-08-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),655008,1.13,741916,1329,492,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3265042,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),189256,1.25,235921,1251,151,CITROEN,BERLINGO,BUENOS AIRES,Autos particulares
4-3276067,2025-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),667937,1.21,810105,1263,528,CHRYSLER,RAM,BUENOS AIRES,Autos particulares
4-3115217,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),390000,2.16,841537,1081,360,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3250583,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),809000,1.25,1008478,1251,646,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3253119,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1177685,1.25,1468073,1251,940,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3257805,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1398611,1.25,1743473,1251,1117,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3123559,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),1036434,1.79,1851115,1004,1031,TOYOTA,PRADO,BUENOS AIRES,Autos particulares
4-3127037,2024-04-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),755965,1.79,1350185,1004,752,FORD,RANGER,BUENOS AIRES,Autos particulares
4-3260631,2025-03-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),488004,1.25,608333,1251,389,VOLKSWAGEN,AMAROK,BUENOS AIRES,Autos particulares
4-3204071,2024-10-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),380165,1.42,541249,1201,316,TOYOTA,HILUX,BUENOS AIRES,Autos particulares
4-3100347,2023-12-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),212396,2.95,625975,965,219,FIAT,CRONOS,BUENOS AIRES,Autos particulares
4-3102094,2024-01-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),115702,2.44,282718,1141,101,FORD,FIESTA,BUENOS AIRES,Autos particulares
4-3107989,2024-02-03,Ruedas,Robo y Hurto de Ruedas (Autos particulares),247933,2.16,534988,1081,229,RENAULT,CAPTUR,BUENOS AIRES,Autos particulares
