,tva,año,cant_perit,cm_hs_chapa,cm_hs_elect,cm_hs_mec,cm_hs_pint,cm_hs_total,cm_hs_chapa_ipc,cm_hs_elect_ipc,cm_hs_mec_ipc,cm_hs_pint_ipc,cm_hs_total_ipc,cm_hs_chapa_usd,cm_hs_elect_usd,cm_hs_mec_usd,cm_hs_pint_usd,cm_hs_total_usd,var_cm_hs_chapa,var_cm_hs_elect,var_cm_hs_mec,var_cm_hs_pint,var_cm_hs_total,var_cm_hs_chapa_ipc,var_cm_hs_elect_ipc,var_cm_hs_mec_ipc,var_cm_hs_pint_ipc,var_cm_hs_total_ipc,var_cm_hs_chapa_usd,var_cm_hs_elect_usd,var_cm_hs_mec_usd,var_cm_hs_pint_usd,var_cm_hs_total_usd
0,auto,2023,85339,4250,6116,5070,4472,4215,19825,28610,24796,20657,19933,7.3,10.6,9.1,7.6,7.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,auto,2024,79780,13957,17087,17233,14325,13457,19636,24107,24450,20170,19012,11.9,14.5,14.9,12.2,11.6,228.4%,179.4%,239.9%,220.3%,219.2%,-1.0%,-15.7%,-1.4%,-2.4%,-4.6%,62.5%,37.5%,63.9%,60.4%,57.5%
2,auto,2025,46253,22080,32211,30009,22481,22367,23430,34134,31826,23862,23732,18.0,26.3,24.5,18.4,18.3,58.2%,88.5%,74.1%,56.9%,66.2%,19.3%,41.6%,30.2%,18.3%,24.8%,51.4%,80.8%,64.7%,50.2%,58.0%
3,camion,2023,1968,9148,14284,11605,9102,9329,41956,64435,51819,40977,42536,15.5,23.7,19.2,15.1,15.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,camion,2024,2001,28297,39011,34215,25112,27593,40619,55632,49029,35893,39592,24.2,33.7,29.3,21.5,23.6,209.3%,173.1%,194.8%,175.9%,195.8%,-3.2%,-13.7%,-5.4%,-12.4%,-6.9%,56.0%,42.3%,52.9%,42.0%,50.1%
5,camion,2025,1059,44280,56067,51075,39074,43705,46954,59653,54178,41480,46352,36.2,45.7,41.7,31.9,35.7,56.5%,43.7%,49.3%,55.6%,58.4%,15.6%,7.2%,10.5%,15.6%,17.1%,49.5%,35.6%,42.1%,48.5%,51.3%
6,moto,2023,727,2527,50192,3977,3211,2824,12047,255820,18592,14922,13350,4.5,96.8,6.9,5.5,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,moto,2024,758,8950,58645,12578,8983,9454,12431,85405,17504,12617,13136,7.6,49.9,10.7,7.6,8.0,254.1%,16.8%,216.3%,179.7%,234.7%,3.2%,-66.6%,-5.9%,-15.4%,-1.6%,69.3%,-48.4%,55.7%,38.7%,61.8%
8,moto,2025,454,17148,42086,23075,17159,18487,18154,44291,24386,18159,19567,14.0,34.7,18.9,14.0,15.1,91.6%,-28.2%,83.5%,91.0%,95.6%,46.0%,-48.1%,39.3%,43.9%,49.0%,85.0%,-30.5%,77.4%,83.8%,89.0%
