fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,var_precio_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom,var_instal_prom_%
2024-02-01,PEUGEOT,CABA,Custodia/Coleta,67344,128292,62,18488,35221,17,1.91,0.05000233874362703,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,PEUGEOT,CABA,Custodia/Coleta,70711,121347,70,20337,34901,20,1.72,0.04999703017343782,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,PEUGEOT,CABA,Custodia/Coleta,74246,112381,66,22168,33554,19,1.51,0.04999222186081376,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,PEUGEOT,CABA,Custodia/Coleta,76474,106397,54,23719,33001,16,1.39,0.030008350618215163,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,PEUGEOT,CABA,Custodia/Coleta,76474,96124,63,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,PEUGEOT,CABA,Custodia/Coleta,76474,89399,62,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,PEUGEOT,CABA,Custodia/Coleta,78768,84343,62,28957,31006,22,1.07,0.02999712320527248,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,PEUGEOT,CABA,Custodia/Coleta,86204,86204,64,28957,28957,21,1.0,0.09440381880966897,-0.06542056074766356,-6.54%,9.44%,0.0,0.0%
2023-12-01,RENAULT,CABA,Custodia/Coleta,91839,238964,95,16962,44135,17,2.6,,,-,-,,-
2024-02-01,RENAULT,CABA,Custodia/Coleta,96431,183705,89,18488,35221,17,1.91,0.050000544431015204,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,RENAULT,CABA,Custodia/Coleta,101253,173759,101,20337,34901,20,1.72,0.05000466654913871,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,RENAULT,CABA,Custodia/Coleta,106658,161438,95,22168,33554,19,1.51,0.05338113438614167,-0.12209302325581395,-12.21%,5.34%,0.09003294487879243,9.0%
2024-07-01,RENAULT,CABA,Custodia/Coleta,110473,153699,78,23719,33001,16,1.39,0.03576853119315948,-0.07947019867549676,-7.95%,3.58%,0.06996571634788884,7.0%
2024-10-01,RENAULT,CABA,Custodia/Coleta,111005,139527,92,26566,33392,22,1.26,0.004815656314212546,-0.09352517985611508,-9.35%,0.48%,0.1200303554112736,12.0%
2025-01-01,RENAULT,CABA,Custodia/Coleta,111005,129766,91,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
