fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,ipc_empalme_ipim,var_precio_prom,var_instal_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom_%,tipo_cristal
2025-08-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,215559,230756,167,28957,30998,22,1.070498944,9193,0.0,0.0,0.07077382453924819,7.08%,0.0%,0.0%,Cristales laterales y de techo
2025-11-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,228492,228492,156,31853,31853,21,1.0,9841,0.05999749488539097,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
2023-12-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,30109,83867,31,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,31615,64473,29,18488,37704,17,2.039326613,4825,0.05001826696336642,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,33196,60983,33,20337,37361,20,1.837070643,5357,0.05000790763877916,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,35087,56852,31,22168,35919,19,1.620318976,6073,0.056964694541510985,0.09003294487879243,0.13377098612570282,13.38%,5.7%,9.0%,Cristales laterales y de techo
2024-07-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,36556,54446,25,23719,35327,16,1.48936646,6607,0.041867358280844647,0.06996571634788884,0.08792497970558877,8.79%,4.19%,7.0%,Cristales laterales y de techo
2024-10-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,36203,48713,30,26566,35746,22,1.345559164,7313,-0.009656417551154428,0.1200303554112736,0.10687549081586467,10.69%,-0.97%,12.0%,Cristales laterales y de techo
2025-01-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,41065,51390,33,26566,33245,21,1.251424313,7864,0.13429826257492472,0.0,0.07522216915167435,7.52%,13.43%,0.0%,Cristales laterales y de techo
2025-04-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,42035,48183,33,28957,33192,22,1.146262248,8585,0.023621088518202882,0.09000225852593546,0.09174345979744447,9.17%,2.36%,9.0%,Cristales laterales y de techo
2025-08-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,41792,44738,32,28957,30998,22,1.070498944,9193,-0.005780896871654617,0.0,0.07077382453924819,7.08%,-0.58%,0.0%,Cristales laterales y de techo
2025-11-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,44299,44299,30,31853,31853,21,1.0,9841,0.05998755742725881,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
2023-12-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,36619,101998,37,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,38450,78412,35,18488,37704,17,2.039326613,4825,0.050001365411398435,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,42994,78983,42,20337,37361,20,1.837070643,5357,0.11817945383615092,0.1000108178277801,0.11009700156540236,11.01%,11.82%,10.0%,Cristales laterales y de techo
2024-05-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,45144,73148,40,22168,35919,19,1.620318976,6073,0.050006977717821144,0.09003294487879243,0.13377098612570282,13.38%,5.0%,9.0%,Cristales laterales y de techo
2024-07-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,46498,69253,32,23719,35327,16,1.48936646,6607,0.029992911571858905,0.06996571634788884,0.08792497970558877,8.79%,3.0%,7.0%,Cristales laterales y de techo
2024-10-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,46498,62566,38,26566,35746,22,1.345559164,7313,0.0,0.1200303554112736,0.10687549081586467,10.69%,0.0%,12.0%,Cristales laterales y de techo
