nro_siniestro_gw,nro_situacion,id._publico_exposicion,codigo_plan_cobertura,plan_cobertura,nombre_exposicion,cobertura_principal,codigo_tipo_transaccion,usuario_creador,monto_transaccion,fecha_pago,tipo_vehiculo,grupo_tipo_vehiculo_alternativo,marca_vehiculo,modelo_vehiculo,año_mes_fecha_pago,usd_blue,ipc_factor,pago_ipc,pago_usd
4-3428970,1,cc:837282,29,"29 - R.C., ACC TOT, INC Y ROBO TOT/PAR",(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,UZACCO,27749000.0,2026-03-06,P GII +1000Kg,PICK UPS,FORD,RANGER,2026-03-01,1411.1904761904761,1.0,27749000.0,19663.539733423317
4-3428970,1,cc:837282,29,"29 - R.C., ACC TOT, INC Y ROBO TOT/PAR",(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,FLIBERAT,27749000.0,2026-03-06,P GII +1000Kg,PICK UPS,FORD,RANGER,2026-03-01,1411.1904761904761,1.0,27749000.0,19663.539733423317
4-3429036,2,cc:837431,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,DDEBASTO,16483000.0,2026-02-23,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,KANGOO,2026-02-01,1441.6,1.033826222,17040557.617226,11433.823529411766
4-3429051,1,cc:843732,30,PLAN PRIVILEGIO L2 (EX 30),(3) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MFERRARI,13564000.0,2026-03-03,AUT/FAM/M.VAN,AUTOS PARTICULARES,CITROEN,C 3 AIRCROSS,2026-03-01,1411.1904761904761,1.0,13564000.0,9611.742871604521
4-3429051,1,cc:843732,30,PLAN PRIVILEGIO L2 (EX 30),(3) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MVIVIANO,13564000.0,2026-03-03,AUT/FAM/M.VAN,AUTOS PARTICULARES,CITROEN,C 3 AIRCROSS,2026-03-01,1411.1904761904761,1.0,13564000.0,9611.742871604521
4-3429062,1,cc:847656,0,PLAN SELECTO L2 (EX L200),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,FLIBERAT,16246862.01,2026-03-27,AUT/FAM/M.VAN,AUTOS PARTICULARES,TOYOTA,COROLLA,2026-03-01,1411.1904761904761,1.0,16246862.01,11512.876740678252
4-3429062,1,cc:847656,0,PLAN SELECTO L2 (EX L200),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,ERUIZ,16246862.01,2026-03-27,AUT/FAM/M.VAN,AUTOS PARTICULARES,TOYOTA,COROLLA,2026-03-01,1411.1904761904761,1.0,16246862.01,11512.876740678252
4-3429223,1,cc:837674,0,PLAN SELECTO L2 (EX L200),(4) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,EAGOSTIN,13864000.0,2026-02-25,AUT/FAM/M.VAN,AUTOS PARTICULARES,FIAT,DOBLO,2026-02-01,1441.6,1.033826222,14332966.741808001,9617.092119866815
4-3429223,1,cc:837674,0,PLAN SELECTO L2 (EX L200),(4) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,JGRIMBER,13864000.0,2026-02-25,AUT/FAM/M.VAN,AUTOS PARTICULARES,FIAT,DOBLO,2026-02-01,1441.6,1.033826222,14332966.741808001,9617.092119866815
4-3429287,1,cc:855380,30,PLAN PRIVILEGIO L2 (EX 30),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,CARMARTI,13280524.0,2026-03-18,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,FLUENCE,2026-03-01,1411.1904761904761,1.0,13280524.0,9410.86566559811
4-3429451,1,cc:838345,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,ESEGOVIA,20799161.0,2026-02-19,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,POLO,2026-02-01,1441.6,1.033826222,21502718.037399743,14427.830882352942
4-3429451,1,cc:838345,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,VABENITE,20799161.0,2026-02-19,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,POLO,2026-02-01,1441.6,1.033826222,21502718.037399743,14427.830882352942
4-3429467,1,cc:838355,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,CARMARTI,12841000.0,2026-02-19,AUT/FAM/M.VAN,AUTOS PARTICULARES,CITROEN,C 3 AIRCROSS,2026-02-01,1441.6,1.033826222,13275362.516702,8907.463928967814
4-3429837,1,cc:843733,29,"29 - R.C., ACC TOT, INC Y ROBO TOT/PAR",(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MFERRARI,24263987.0,2026-03-03,P GII +1000Kg,PICK UPS,FIAT,TORO,2026-03-01,1411.1904761904761,1.0,24263987.0,17193.984376581746
