fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,36674.850411690015,95426.69435195785,37.984309502017624,16962.285252969927,44135.28050355568,17.567916042677297
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,95315.92054885392,248008.7339140654,98.71913275598149,16962.285252969927,44135.28050355568,17.567916042677297
2023-12-01,CHEVROLET,CABA,Luneta,104491.50060803551,271883.2763861009,108.2223227871916,27811.496938018085,72364.55467392229,28.804493966562156
2023-12-01,CHEVROLET,CABA,Parabrisas,154233.64393902267,401310.61568737816,159.7404870433079,38596.04229745618,100425.56929804441,39.97409668267498
2023-12-01,CHEVROLET,CABA,Puerta,51540.39659282002,134106.33219308293,53.38062334439379,11308.134923545445,29423.37658985821,11.711886810848792
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,34579.14467387916,89973.74038898884,35.813777530473764,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,89869.29651749083,233836.80626183312,93.0780394556397,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Luneta,98520.55771614777,256347.089164038,102.03819005649495,30384.06040478476,79058.2759812601,31.468909658469155
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,145420.29285679283,378378.58050524234,150.6124592122617,42166.17620997088,109714.93445811352,43.671700625822425
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Puerta,48595.23107323031,126443.11321062107,50.33030201042843,12354.1374039734,32145.03892442009,12.795236340852306
2023-12-01,CHEVROLET,Rosario,Aleta/Ventilete,32483.438936068298,84520.78642601981,33.6432455589299,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,84422.67248612776,219664.8786096008,87.43694615529789,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,CHEVROLET,Rosario,Luneta,92549.61482426003,240810.90194197508,95.8540573257983,30384.06040478476,79058.2759812601,31.468909658469155
2023-12-01,CHEVROLET,Rosario,Parabrisas,136606.94177456296,355446.5453231064,141.48443138121556,42166.17620997088,109714.93445811352,43.671700625822425
2023-12-01,CHEVROLET,Rosario,Puerta,45650.06555364059,118779.89422815919,47.27998067646308,12354.1374039734,32145.03892442009,12.795236340852306
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,62871.17213432573,163588.6188890706,65.11595914631594,33246.07909582106,86505.14978696914,34.4331154436475
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,163398.7209408924,425157.8295669693,169.23279901025398,33246.07909582106,86505.14978696914,34.4331154436475
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,179128.2867566323,466085.61666188727,185.5239819208999,54510.53399851545,141834.5271608877,56.45680817446182
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,264400.53246689605,687961.0554640769,273.84083493138496,75648.2429030141,196834.11582416703,78.34922949804297
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,88354.96558769146,229896.5694738565,91.5096400189608,22163.944450149073,57669.818116122085,22.95529814926363
2023-12-01,FIAT,CABA,Aleta/Ventilete,30109.78048351376,78344.60909727294,31.184836695585965,16962.285252969927,44135.28050355568,17.567916042677297
2023-12-01,FIAT,CABA,Custodia/Coleta,76673.47505586423,199501.73448359157,79.4110671052351,16962.285252969927,44135.28050355568,17.567916042677297
2023-12-01,FIAT,CABA,Luneta,103795.66564814723,270072.7378483486,107.5016433520467,25707.724760437988,66890.61211321595,26.625607546633777
2023-12-01,FIAT,CABA,Parabrisas,161009.79154391075,418941.917768144,166.75857396025904,38842.38392527059,101066.54170719474,40.2292338278602
2023-12-01,FIAT,CABA,Puerta,42450.879258054876,110455.72195814711,43.96656886858813,11308.134923545445,29423.376589858206,11.711886810848792
2023-12-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,28389.221598741547,73867.7742917145,29.40284602726677,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,72292.13362410056,188101.6353702435,74.87329184207881,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,FIAT,CORD_TUC_STAFE,Luneta,97864.4847539674,254640.00997130014,101.35869230335834,28085.6893007785,73077.99373368842,29.0884762446974
2023-12-01,FIAT,CORD_TUC_STAFE,Parabrisas,151809.23202711588,395002.3796099643,157.2295125911014,42435.304438358115,110415.19681511026,43.950437956937265
2023-12-01,FIAT,CORD_TUC_STAFE,Puerta,40025.114729023175,104143.96641768159,41.454193504668815,12354.1374039734,32145.03892442009,12.795236340852306
2023-12-01,FIAT,Rosario,Aleta/Ventilete,26668.662713969334,69390.93948615603,27.620855358947573,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,FIAT,Rosario,Custodia/Coleta,67910.79219233688,176701.53625689537,70.33551657892252,18531.296638869644,48217.793950134575,19.192948276624946
2023-12-01,FIAT,Rosario,Luneta,91933.30385978756,239207.28209425163,95.21574125466995,28085.6893007785,73077.99373368842,29.0884762446974
2023-12-01,FIAT,Rosario,Parabrisas,142608.67251032096,371062.84145178465,147.70045122194375,42435.304438358115,110415.19681511026,43.950437956937265
2023-12-01,FIAT,Rosario,Puerta,37599.35019999146,97832.21087721603,38.94181814074949,12354.1374039734,32145.03892442009,12.795236340852306
