año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto
2024,2024-03-01,813,960,1.18,475360,"11,41%",456345797,1.684490668,768710237,800739,"0,36%",1001,455615,474,"20,28%",Capot
2024,2024-04-01,922,1086,1.18,463056,"-2,59%",502879862,1.547790994,778352921,716715,"-10,49%",1004,500502,460,"-2,89%",Capot
2024,2024-05-01,935,1103,1.18,452336,"-2,32%",498927079,1.485741555,741276694,672055,"-6,23%",1119,445636,404,"-12,33%",Capot
2024,2024-06-01,692,831,1.2,485240,"7,27%",403235177,1.420714517,572882070,689388,"2,58%",1278,315369,379,"-6,07%",Capot
2024,2024-07-01,1004,1188,1.18,481723,"-0,72%",572286994,1.365665449,781552574,657872,"-4,57%",1416,404150,340,"-10,36%",Capot
2024,2024-08-01,957,1127,1.18,477013,"-0,98%",537594431,1.31096827,704769241,625349,"-4,94%",1340,400985,355,"4,59%",Capot
2024,2024-09-01,856,1022,1.19,477845,"0,17%",488358240,1.267012954,618756217,605436,"-3,18%",1243,392801,384,"8,02%",Capot
2024,2024-10-01,896,1054,1.18,491875,"2,94%",518437245,1.23380223,639649029,606877,"0,24%",1201,431671,409,"6,56%",Capot
2024,2024-11-01,763,883,1.16,479798,"-2,46%",423662031,1.2045726,510331674,577952,"-4,77%",1124,376907,426,"4,22%",Capot
2024,2024-12-01,659,788,1.2,521460,"8,68%",410911250,1.172857318,481940266,611599,"5,82%",1105,371798,471,"10,54%",Capot
2025,2025-01-01,845,1017,1.2,513583,"-1,51%",522314351,1.147485855,599348330,589329,"-3,64%",1216,429257,422,"-10,54%",Capot
2025,2025-02-01,798,948,1.19,482901,"-5,97%",457790736,1.120573846,512988326,541126,"-8,18%",1212,377488,398,"-5,66%",Capot
2025,2025-03-01,730,848,1.16,495301,"2,57%",420015618,1.080286346,453737137,535067,"-1,12%",1251,335538,395,"-0,63%",Capot
2025,2025-04-01,890,1020,1.15,543832,"9,80%",554709275,1.051058144,583031701,571599,"6,83%",1263,438890,430,"8,75%",Capot
