año_mes,tva,tipo_costo,valor_costo
2025-07-01,moto,cm_hs_chapa_ipc,18008.01
2023-01-01,auto,cm_hs_elect_ipc,33323.94615
2023-02-01,auto,cm_hs_elect_ipc,29318.24199
2023-03-01,auto,cm_hs_elect_ipc,27347.83174
2023-04-01,auto,cm_hs_elect_ipc,38553.90119
2023-05-01,auto,cm_hs_elect_ipc,27407.30864
2023-06-01,auto,cm_hs_elect_ipc,30068.2184
2023-07-01,auto,cm_hs_elect_ipc,24968.74823
2023-08-01,auto,cm_hs_elect_ipc,24418.11902
2023-09-01,auto,cm_hs_elect_ipc,26226.64208
2023-10-01,auto,cm_hs_elect_ipc,30695.46852
2023-11-01,auto,cm_hs_elect_ipc,26582.73059
2023-12-01,auto,cm_hs_elect_ipc,24418.41608
2024-01-01,auto,cm_hs_elect_ipc,21251.54365
2024-02-01,auto,cm_hs_elect_ipc,19835.24944
2024-03-01,auto,cm_hs_elect_ipc,21686.06549
2024-04-01,auto,cm_hs_elect_ipc,22250.81117
2024-05-01,auto,cm_hs_elect_ipc,25463.33708
2024-06-01,auto,cm_hs_elect_ipc,22885.63663
2024-07-01,auto,cm_hs_elect_ipc,24341.21126
2024-08-01,auto,cm_hs_elect_ipc,33905.76901
2024-09-01,auto,cm_hs_elect_ipc,21347.01435
2024-10-01,auto,cm_hs_elect_ipc,26508.90716
2024-11-01,auto,cm_hs_elect_ipc,25817.76113
2024-12-01,auto,cm_hs_elect_ipc,23994.01007
2025-01-01,auto,cm_hs_elect_ipc,30053.93972
2025-02-01,auto,cm_hs_elect_ipc,34644.46783
2025-03-01,auto,cm_hs_elect_ipc,35363.54082
2025-04-01,auto,cm_hs_elect_ipc,29920.70342
2025-05-01,auto,cm_hs_elect_ipc,33670.62678
2025-06-01,auto,cm_hs_elect_ipc,33859.50425
2025-07-01,auto,cm_hs_elect_ipc,41426.52
2023-01-01,camion,cm_hs_elect_ipc,60688.14046
2023-02-01,camion,cm_hs_elect_ipc,52763.16937
2023-03-01,camion,cm_hs_elect_ipc,58055.83808
2023-04-01,camion,cm_hs_elect_ipc,68600.20568
2023-05-01,camion,cm_hs_elect_ipc,40060.91821
2023-06-01,camion,cm_hs_elect_ipc,64500.17613
2023-07-01,camion,cm_hs_elect_ipc,86414.85362
2023-08-01,camion,cm_hs_elect_ipc,72245.83382
2023-09-01,camion,cm_hs_elect_ipc,62927.81867
2023-10-01,camion,cm_hs_elect_ipc,75785.45573
2023-11-01,camion,cm_hs_elect_ipc,75525.60494
2023-12-01,camion,cm_hs_elect_ipc,55662.2165
2024-01-01,camion,cm_hs_elect_ipc,60349.94137
2024-02-01,camion,cm_hs_elect_ipc,53290.54593
2024-03-01,camion,cm_hs_elect_ipc,50944.72508
2024-04-01,camion,cm_hs_elect_ipc,66245.45456
2024-05-01,camion,cm_hs_elect_ipc,57736.97172
2024-06-01,camion,cm_hs_elect_ipc,48995.61327
2024-07-01,camion,cm_hs_elect_ipc,43720.71412
2024-08-01,camion,cm_hs_elect_ipc,56349.88664
2024-09-01,camion,cm_hs_elect_ipc,38370.52437
2024-10-01,camion,cm_hs_elect_ipc,64376.33336
2024-11-01,camion,cm_hs_elect_ipc,52097.76495
2024-12-01,camion,cm_hs_elect_ipc,75109.92338
2025-01-01,camion,cm_hs_elect_ipc,59497.58908
2025-02-01,camion,cm_hs_elect_ipc,69508.59054
2025-03-01,camion,cm_hs_elect_ipc,51930.26128
2025-04-01,camion,cm_hs_elect_ipc,67493.42545
2025-05-01,camion,cm_hs_elect_ipc,56147.86546
2025-06-01,camion,cm_hs_elect_ipc,48922.89647
2025-07-01,camion,cm_hs_elect_ipc,64072.07
2023-01-01,moto,cm_hs_elect_ipc,18753.38846
2023-02-01,moto,cm_hs_elect_ipc,461044.574
2023-03-01,moto,cm_hs_elect_ipc,428180.6798
2023-04-01,moto,cm_hs_elect_ipc,394990.8257
2023-05-01,moto,cm_hs_elect_ipc,366503.4202
2023-06-01,moto,cm_hs_elect_ipc,345918.3976
2023-07-01,moto,cm_hs_elect_ipc,325279.8746
2023-08-01,moto,cm_hs_elect_ipc,289287.7418
2023-09-01,moto,cm_hs_elect_ipc,19575.42248
2023-10-01,moto,cm_hs_elect_ipc,236907.6101
2023-11-01,moto,cm_hs_elect_ipc,16022.32202
2023-12-01,moto,cm_hs_elect_ipc,167380.1019
2024-01-01,moto,cm_hs_elect_ipc,138773.102
2024-02-01,moto,cm_hs_elect_ipc,122547.0448
2024-03-01,moto,cm_hs_elect_ipc,16844.90668
2024-04-01,moto,cm_hs_elect_ipc,101434.4828
2024-05-01,moto,cm_hs_elect_ipc,57052.47573
2024-06-01,moto,cm_hs_elect_ipc,93106.52589
2024-07-01,moto,cm_hs_elect_ipc,89498.88517
2024-08-01,moto,cm_hs_elect_ipc,85914.30556
2024-09-01,moto,cm_hs_elect_ipc,83033.69392
2024-10-01,moto,cm_hs_elect_ipc,80857.22912
2024-11-01,moto,cm_hs_elect_ipc,78941.66535
2024-12-01,moto,cm_hs_elect_ipc,76863.20433
2025-01-01,moto,cm_hs_elect_ipc,20654.74538
2025-02-01,moto,cm_hs_elect_ipc,22411.47692
2025-03-01,moto,cm_hs_elect_ipc,70796.56566
2025-04-01,moto,cm_hs_elect_ipc,31531.74432
2025-05-01,moto,cm_hs_elect_ipc,67862.40702
2025-06-01,moto,cm_hs_elect_ipc,66781.26845
2025-07-01,moto,cm_hs_elect_ipc,30000.0
2023-01-01,auto,cm_hs_mec_ipc,26603.18181
2023-02-01,auto,cm_hs_mec_ipc,27533.6509
2023-03-01,auto,cm_hs_mec_ipc,27192.59297
2023-04-01,auto,cm_hs_mec_ipc,26067.76716
2023-05-01,auto,cm_hs_mec_ipc,26747.61926
2023-06-01,auto,cm_hs_mec_ipc,27030.35443
2023-07-01,auto,cm_hs_mec_ipc,26595.7184
2023-08-01,auto,cm_hs_mec_ipc,27039.82918
2023-09-01,auto,cm_hs_mec_ipc,26615.21421
2023-10-01,auto,cm_hs_mec_ipc,26905.63361
2023-11-01,auto,cm_hs_mec_ipc,27382.08424
2023-12-01,auto,cm_hs_mec_ipc,1843.339299
2024-01-01,auto,cm_hs_mec_ipc,23280.72044
2024-02-01,auto,cm_hs_mec_ipc,24101.72289
2024-03-01,auto,cm_hs_mec_ipc,23393.92004
2024-04-01,auto,cm_hs_mec_ipc,24543.64683
2024-05-01,auto,cm_hs_mec_ipc,25675.08496
2024-06-01,auto,cm_hs_mec_ipc,26231.83133
2024-07-01,auto,cm_hs_mec_ipc,28523.83483
2024-08-01,auto,cm_hs_mec_ipc,934.445073
2024-09-01,auto,cm_hs_mec_ipc,28084.07699
2024-10-01,auto,cm_hs_mec_ipc,29348.42896
2024-11-01,auto,cm_hs_mec_ipc,29852.68183
2024-12-01,auto,cm_hs_mec_ipc,29432.31488
2025-01-01,auto,cm_hs_mec_ipc,30211.15675
2025-02-01,auto,cm_hs_mec_ipc,30469.2433
2025-03-01,auto,cm_hs_mec_ipc,30207.39891
