año,AUT,marca,modelo,Codigo Modelo La Segunda,prima_dev_hist,prima_dev_ipc,ar_t,ns_t,ns_t_nro_sin,is_t,is_t_ipc
2024,AUT,MERCEDES BENZ CAMION,OF,M. BENZ OF 1215/45,355526,585431,2,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1315,364548,594143,2,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,M. BENZ OF 1621-52 / VERSATILE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1620,1286248,1976881,5,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1519,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1418,472135,768092,3,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1417 (MICRO-OMNIBUS),1485006,2265877,8,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1722,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,OF,MERCEDES BENZ OF 1721,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2636 LS/33 6X2 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M.BENZ ACTROS 2048 LS/37 4X2 CD STREAM 5,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3344 AK/36 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M.BENZ ACTROS 2645 LS/33 6X2 CD STREA 4B,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2044 S/36 TRACTOR 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2044 AK/39 4X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3344 S/33 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2041 S/45 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 1846 LS/36 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ ACTROS 1846 LS/36 4X2 MEGASP E,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3344 B/36 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 4141 B 42 8X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 1836 L/46 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2646 LS/33 6X4 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3336 B/36 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3341 K/36 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2046 S/36 TRACTOR 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 4144 K/45 8X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 2045 LS/36 4X2 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3341 S/33 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 4844 K/45 8X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 1841 LS/36 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERCEDES BENZ C ACTROS 2655  6X4 MSPACE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M.BENZ  ACTROS 2042 L/46 4X2 CD STREAM 4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2041 S/36 4X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 2651 S/36 6X4 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 2545 LS/33 6X2 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 2545 LS/33 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3336 S/36 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2646 LS/33 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M.BENZ ACTROS 2042 LS/37 4X2 CD STREAM 4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2646 LS/33 TRACTOR 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 3344 K/36 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M BENZ C ACTROS 2663 LS/33 6X4 CD BITREN,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 4144 B/42 8X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M.BENZ ACTROS 2651 LS/33 6X4 CD STREA 5B,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M.BENZ ACTROS 3342 S36 6X4 CM TOMA D FZA,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,M. BENZ C ACTROS 2646 S/33 TRACTOR 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 2548 LS/36 6X2 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ACTROS,MERC.BENZ CAMIO ACTROS 2045 LS/36 4X2 TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1419-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-42,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-A42 4X4 CAB EXT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1720-42 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-42 A 4X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERCEDES BENZ ATEGO 1725/54,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1729-42 CD TECHO E,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1932-LS/36 CD AUT,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1418-42,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-S36,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERCEDES BENZ C ATEGO 1328,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1720-36,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1720-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726 S36 CD TECHO ELEVAD,0,0,0,0,0,0,0
